Kabupaten_dan_Kota,Curah_Hujan_Rendah,Curah_Hujan_Tinggi,Baik,Sedang,Rusak,Rusak_Berat,Jumlah_Kendaraan,Total_Kecelakaan
Banjarnegara,63,618,658,47,132,103,364550,607
Banyumas,51,658,572,91,76,66,829219,219
Batang,43,464,251,18,27,70,364658,574
Blora,32,501,403,287,247,273,521459,433
Boyolali,31,512,501,77,63,36,539847,93
Brebes,49,582,484,47,67,0,798187,1144
Cilacap,48,565,745,151,169,204,888484,174
Demak,29,556,23,7,0,30,581045,741
Grobogan,33,528,662,42,113,101,639943,702
Jepara,24,572,418,117,137,201,681639,460
Karanganyar,35,524,510,257,222,58,622423,104
Kebumen,55,668,509,177,121,153,566639,853
Kendal,33,502,383,166,115,257,539376,542
Klaten,18,421,471,169,63,67,817600,150
Magelang,24,481,742,144,96,19,539962,1078
Pekalongan,56,490,481,101,18,121,425290,308
Salatiga,35,546,294,12,29,2,91971,297
Semarang,35,485,570,90,46,41,559805,661
Surakarta,25,417,539,107,23,0,845188,902
Tegal,24,340,541,83,119,112,657585,640
Kudus,28,539,314,182,89,54,554246,999
Pati,27,499,520,110,93,115,718265,155
Pemalang,56,539,437,90,112,117,583768,608
Purbalingga,64,659,376,360,105,46,421846,572
Purworejo,27,570,480,108,96,86,340185,648
Rembang,18,442,427,137,44,21,309672,490
Sragen,31,524,743,66,128,84,619133,1035
Sukoharjo,20,422,121,407,57,20,611541,82
Temanggung,44,552,414,122,73,106,317240,409
Wonogiri,21,486,769,139,120,11,689950,819
Wonosobo,51,627,420,243,263,73,313310,374
